episode_index,success,collision,timeout,path_length,oracle_length,episode_length,path_efficiency
0,0,0,1,22,10,30,
1,0,1,0,2,7,5,
2,0,0,1,27,3,30,
3,0,0,1,23,6,30,
4,0,0,1,26,4,30,
5,0,0,1,18,3,30,
6,1,0,0,4,4,4,1.0
7,0,1,0,4,11,9,
8,0,1,0,0,8,2,
9,0,0,1,20,5,30,
10,0,0,1,23,6,30,
11,0,0,1,22,5,30,
12,0,1,0,0,7,5,
13,0,1,0,3,9,3,
14,1,0,0,3,3,3,1.0
15,0,0,1,19,4,30,
16,0,1,0,0,2,3,
17,0,0,1,24,7,30,
18,0,1,0,4,4,4,
19,0,0,1,21,8,30,
20,0,0,1,21,3,30,
21,0,1,0,4,2,9,
22,0,0,1,29,6,30,
23,0,0,1,20,1,30,
24,0,0,1,23,4,30,
25,0,0,1,29,4,30,
26,0,0,1,22,2,30,
27,0,0,1,30,1,30,
28,0,1,0,5,3,8,
29,0,0,1,27,4,30,
30,0,0,1,25,6,30,
31,0,1,0,14,5,17,
32,0,0,1,26,3,30,
33,0,0,1,30,9,30,
34,0,0,1,18,5,30,
35,0,0,1,16,7,30,
36,0,0,1,30,8,30,
37,0,1,0,4,10,4,
38,0,0,1,17,5,30,
39,0,1,0,5,7,5,
40,0,0,1,8,7,30,
41,0,1,0,4,3,4,
42,0,1,0,2,7,3,
43,0,0,1,23,7,30,
44,0,0,1,16,7,30,
45,0,0,1,19,4,30,
46,0,0,1,18,8,30,
47,0,0,1,17,3,30,
48,0,0,1,18,12,30,
49,0,1,0,1,7,1,
50,0,0,1,18,6,30,
51,0,1,0,3,6,3,
52,0,1,0,5,5,8,
53,0,1,0,4,7,4,
54,0,0,1,23,11,30,
55,0,0,1,18,1,30,
56,0,0,1,28,3,30,
57,0,0,1,18,6,30,
58,0,1,0,24,4,25,
59,0,0,1,16,6,30,
60,1,0,0,4,4,9,1.0
61,0,1,0,2,2,2,
62,0,1,0,6,9,8,
63,0,1,0,0,7,4,
64,0,0,1,18,5,30,
65,0,1,0,13,9,19,
66,0,0,1,15,5,30,
67,0,1,0,4,12,6,
68,0,0,1,16,2,30,
69,0,1,0,12,2,17,
70,0,0,1,12,6,30,
71,0,0,1,18,9,30,
72,0,0,1,22,6,30,
73,0,0,1,17,4,30,
74,0,1,0,8,6,12,
75,0,0,1,6,8,30,
76,0,0,1,22,5,30,
77,0,1,0,3,3,3,
78,0,1,0,1,5,1,
79,0,0,1,30,7,30,
80,0,0,1,18,2,30,
81,0,0,1,22,4,30,
82,0,1,0,15,9,29,
83,0,1,0,2,1,3,
84,0,0,1,17,9,30,
85,0,0,1,26,5,30,
86,0,1,0,1,8,1,
87,0,1,0,3,4,3,
88,0,1,0,1,9,1,
89,1,0,0,3,3,9,1.0
90,0,1,0,10,6,10,
91,0,1,0,7,5,8,
92,0,0,1,17,5,30,
93,0,0,1,18,4,30,
94,0,0,1,15,8,30,
95,0,1,0,10,5,10,
96,0,0,1,28,5,30,
97,0,0,1,17,10,30,
98,0,0,1,27,6,30,
99,0,1,0,4,3,10,
